id,title_short,decision,reason_code,confidence,rationale,revisado_manualmente,color_numbers
776,Functional Wavelet-Based Modelling of Dependence Between Lupus and Stress,include,none,alta,Modelado wavelet funcional con suavizado y FPCA para dependencia lupus-estres; metodologia wavelet sustantiva.,no,
777,Estimation in generalized linear models for functional data via penalized likelihood,include,none,baja,Sin resumen; estimacion de modelos lineales generalizados para datos funcionales via verosimilitud penalizada; PR1/PR3.,no,
778,Preprocessing of centred logratio transformed density functions using smoothing splines,include,none,alta,Splines de suavizado para preprocesamiento de funciones de densidad transformadas; metodologia de representacion central.,no,
779,Functional clustering of varved lake sediment to reconstruct past seasonal climate,include,none,baja,"Sin resumen; clustering funcional aplicado a sedimentos de lago varvado para reconstruir clima; posible E4, sin evidencia clara.",no,
780,A marginal approach to reduced-rank penalized spline smoothing with application to multilevel functi,include,none,alta,Suavizado spline penalizado de rango reducido para FDA multinivel; PR1/PR3.,no,
781,Functional statistical techniques applied to vine leaf water content determination,include,none,baja,Sin resumen; tecnicas estadisticas funcionales aplicadas a contenido de agua en hojas de vid; posible E4 agricola.,no,
782,Recent history functional linear models for sparse longitudinal data,include,none,alta,Modelos lineales funcionales de historia reciente (ventana deslizante) para datos longitudinales dispersos; PR1/PR3.,no,
783,Fast function-on-scalar regression with penalized basis expansions,include,none,alta,Regresion funcion-sobre-escalar con expansiones en bases penalizadas; cita directamente a Ramsay y Silverman; PR1/PR3.,no,
784,Detecting and Localizing Differences in Functional Time Series Dynamics: A Case Study in Molecular B,include,none,alta,Analisis espectral de Fourier para series de tiempo funcionales en biofisica molecular; coincide con PR4/C7.,no,
785,Quantile regression with functional principal component in statistical downscaling to predict extrem,include,none,baja,Sin resumen; regresion de cuantiles con FPCA para reduccion de escala estadistica de lluvia extrema; posible E4 climatico.,no,
786,Smoothed functional canonical correlation analysis of humidity and temperature data,include,none,alta,"Analisis de correlacion canonica funcional suavizada, discute explicitamente el numero de funciones base; PR1/PR3.",no,
787,Wavelets in functional data analysis: Estimation of multidimensional curves and their derivatives,include,none,baja,Sin resumen; estimacion wavelet de curvas multidimensionales y sus derivadas en FDA; PR1/PR4.,no,
788,Analysing the results of a designed experiment when the response is a curve: Methodology and applica,include,none,alta,Revision metodologica de analisis de experimentos disenados con respuesta tipo curva; discusion explicita del caracter funcional.,no,
789,Structured functional additive regression in reproducing kernel Hilbert spaces,include,none,alta,"Regresion aditiva funcional estructurada en espacios de Hilbert con nucleo reproductor, basada en FPCA; PR1.",no,
790,Functional principal component analysis for longitudinal and survival data,include,none,baja,Sin resumen; FPCA para datos longitudinales y de supervivencia; PR1/PR2.,no,
791,Nonparametric Regression Analysis of Longitudinal Data,include,none,media,Revision de regresion no parametrica longitudinal que menciona FDA como enfoque relacionado; valor de referencia.,no,
792,Fully automated multi-modal anatomic atlas generation using 3D-slicer,exclude,I1,alta,Generacion de atlas anatomico multimodal automatizado (software de imagen medica); sin conexion aparente a FDA estadistica.,si,verde
793,Dynamic retrospective regression for functional data,include,none,alta,"Regresion retrospectiva dinamica para datos funcionales con sincronizacion de fase; PR1, mismo tema que warped regression.",no,
794,Model-based clustering of time series in group-specific functional subspaces,include,none,baja,Sin resumen; clustering basado en modelos de series de tiempo en subespacios funcionales especificos por grupo.,no,
795,Feature extraction and quantification for mass spectrometry in biomedical applications using the mea,include,none,baja,"Sin resumen; extraccion de caracteristicas en espectrometria de masas biomedica; sin mencion explicita de ""funcional"", ambiguo.",no,
796,A novel semi-distance for measuring dissimilarities of curves with sharp local patterns,include,none,baja,Sin resumen; semi-distancia novedosa para medir disimilitudes de curvas con patrones locales agudos; coincide con PR4.,no,
797,Functional data analysis of generalized regression quantiles,include,none,baja,Sin resumen; analisis de datos funcionales de cuantiles de regresion generalizados; PR1.,no,
798,Series expansion for functional sufficient dimension reduction,include,none,alta,Reduccion de dimension suficiente funcional via expansion en serie (bases); PR1/PR2/PR3 explicito.,no,
799,Functional Multiple-Set Canonical Correlation Analysis,include,none,alta,"Analisis de correlacion canonica funcional multi-conjunto via expansion en bases; PR1, aplicacion en fMRI.",no,
800,Functional deconvolution in a periodic setting: Uniform case,include,none,alta,"Deconvolucion funcional periodica, metodologia central de FDA",no,
801,Gaussian process functional regression modeling for batch data,include,none,media,Regresion funcional con proceso gaussiano para datos por lotes,no,
802,Functional PCA and Base-Line Logit Models,include,none,alta,"FPCA aplicado a modelos logit base, metodologia central",no,
803,Functional Data Analysis,include,none,media,"Articulo general sobre FDA, posible entrada enciclopedica, verificar sustancia",no,
804,Localized Functional Principal Component Analysis,include,none,alta,"FPCA localizada con funciones base ortogonales, PR1/PR2 directo",no,
805,Random forests for functional covariates,include,none,media,"Random forests para covariables funcionales, sin discusion explicita de bases",no,
806,Nonparametric functional concurrent regression models,include,none,alta,"Regresion funcional concurrente no parametrica, metodologia central",no,
807,Penalized scalar-on-functions regression with interaction term,include,none,baja,"Regresion penalizada scalar-on-function, solo titulo",no,
808,Data reduction for multiple functional data with class information,include,none,baja,"Reduccion de dimension para datos funcionales, solo titulo",no,
809,Test of significance when data are curves,include,none,baja,"Test de significancia para datos tipo curva, solo titulo",no,
810,Modeling regional impacts of climate teleconnections using functional data analysis,include,none,baja,"Aplicacion a teleconexiones climaticas, posible E4, solo titulo",no,
811,Estimation and inference in functional mixed-effects models,include,none,baja,"Modelos de efectos mixtos funcionales, solo titulo",no,
812,Using wavelet-based functional mixed models to characterize population heterogeneity in acceleromete,include,none,baja,"Modelos mixtos funcionales wavelet en acelerometria, solo titulo",no,
813,3D face recognition by functional data analysis,include,none,baja,"Reconocimiento facial 3D via FDA, posible E4, solo titulo",no,
814,A transformation approach for incorporating monotone or unimodal constraints,include,none,baja,"Restricciones monotonas, conexion a FDA no explicita en titulo",no,
815,Estimating and depicting the structure of a distribution of random functions,include,none,media,"Estructura de distribucion de funciones aleatorias, metodologia central",no,
816,Application of data reduction technique in agriculture: A functional approach,include,none,baja,"Reduccion de datos en agricultura, posible E4, solo titulo",no,
817,Wavelet-based SPC procedure for complicated functional data,include,none,media,SPC basado en wavelets para datos funcionales complejos,no,
818,Exploring between site differences in water quality trends: A functional data analysis approach,include,none,baja,"Tendencias de calidad de agua, posible E4, solo titulo",no,
819,Functional variance estimation using penalized splines with principal component analysis,include,none,media,Estimacion de varianza funcional con splines penalizados y PCA,no,
820,Quasi-interpolation for linear functional data,include,none,baja,"Cuasi-interpolacion para datos funcionales lineales, solo titulo",no,
821,Hierarchical functional data with mixed continuous and binary measurements,include,none,alta,"Datos funcionales jerarquicos, metodologia confirmada por resumen",no,
822,Functional generalized linear models with images as predictors,include,none,alta,"FPCR con imagenes como predictores, metodologia confirmada",no,
823,The functional data analysis view of longitudinal data,include,none,baja,"Vision de FDA sobre datos longitudinales, solo titulo",no,
824,Varying-coefficient additive models for functional data,include,none,baja,"Modelos aditivos de coeficiente variable, solo titulo",no,
825,Semiparametric mixed models for nested repeated measures applied to ambulatory blood pressure monito,include,none,media,"Modelos mixtos semiparametricos, metodologico con dominio medico",no,
826,Nonparametric mixed effects models for unequally sampled noisy curves,include,none,media,Modelos de efectos mixtos no parametricos para curvas ruidosas,no,
827,Convolutional autoregressive models for functional time series,include,none,baja,"Modelos autorregresivos convolucionales, solo titulo",no,
828,Methods to assess an exercise intervention trial based on 3-level functional data,include,none,baja,"Evaluacion de intervencion con datos funcionales, posible E4, solo titulo",no,
829,Using control charts to monitor process and product quality profiles,include,none,baja,"Cartas de control para perfiles funcionales, posible E4, solo titulo",no,
830,Posterior simulation across nonparametric models for functional clustering,include,none,media,Simulacion posterior para clustering funcional no parametrico,no,
831,Discussion of the paper “analysis of spatio-temporal mobile phone data: a case study in the metropol,include,none,baja,"Discusion de otro paper (mobile phone data), revisar valor sustantivo",no,
832,Predicting the continuation of a function with applications to call center data,include,none,baja,"Prediccion de continuacion de funcion, call center, solo titulo",no,
833,Analysis of air quality monitoring networks by functional clustering,include,none,media,"Clustering funcional para calidad del aire, posible E4 pero metodologico",no,
834,"International Symposium on Knowledge Exploration in Life Science Informatics, KELSI 2004",exclude,E5,alta,"Registro de volumen de actas KELSI 2004, no trabajo individual",si,verde
835,Efficient estimation of three-dimensional curves and their derivatives by free-knot regression splin,include,none,alta,"Splines de nudo libre para curvas 3D, metodologia central de seleccion de base",no,
836,Clustering of time-course gene expression data using functional data analysis,include,none,baja,"Clustering de expresion genica via FDA, posible E4, solo titulo",no,
837,A mixed model for investigating a population of asymptotic growth curves using restricted B-splines,include,none,media,"Modelo mixto con B-splines restringidos, mencion explicita de base",no,
838,Model selection using modified AIC and BIC in joint modeling of paired functional data,include,none,media,"Seleccion de modelo AIC/BIC para datos funcionales pareados, PR3",no,
839,Functional Extended Redundancy Analysis,include,none,alta,"Analisis de redundancia extendida funcional, metodologia central",no,
840,Nonparametric method for estimating the distribution of time to failure of engineering materials,include,none,baja,"Estimacion no parametrica de tiempo a falla, conexion FDA no explicita",no,
841,A simultaneous confidence band for sparse longitudinal regression,include,none,alta,"Bandas de confianza para regresion longitudinal dispersa, FDA confirmado",no,
842,Maximal autocorrelation factors for function-valued spatial/temporal data,include,none,media,Factores de autocorrelacion maxima para datos funcion-valuados,no,
843,Local linear regression for functional predictor and scalar response,include,none,alta,"Regresion lineal local para predictor funcional, metodologia central",no,
844,Multichannel deconvolution with long-range dependence: A minimax study,include,none,media,"Deconvolucion multicanal, teoria relacionada a FDA",no,
845,Enhancing multiscale fractal descriptors using functional data analysis,include,none,alta,"Descriptores fractales multiescala via FDA, resumen confirma metodologia",no,
846,Nonparametric estimation for functional data by wavelet thresholding,include,none,media,"Estimacion no parametrica por umbralizacion wavelet, PR4",no,
847,Bayesian generalized monotonic functional mixed models for the effects of radiation dose histograms ,include,none,alta,"Modelos mixtos funcionales monotonos bayesianos, metodologia con app medica",no,
848,Semiparametric regression during 2003–2007*,include,none,media,"Regresion semiparametrica, revision relacionada a splines penalizados",no,
849,Hypothesis testing in functional linear regression models with Neyman's truncation and wavelet thres,include,none,alta,"Test de hipotesis en regresion funcional con wavelet, PR3/PR4",no,
850,Bayesian function-on-function regression for multilevel functional data,include,none,alta,"Regresion funcion-en-funcion bayesiana multinivel, metodologia central",no,
851,Generalized monotonic functional mixed models with application to modelling normal tissue complicati,include,none,alta,"Modelos mixtos funcionales monotonos generalizados, companero de 847",no,
852,Common functional implied volatility analysis,include,none,alta,"Volatilidad implicita funcional comun, aplicacion financiera directa",no,
853,Generalized Functional Extended Redundancy Analysis,include,none,alta,"Analisis de redundancia extendida funcional generalizado, companero de 839",no,
854,Wavelet-based functional linear mixed models: An application to measurement error-corrected distribu,include,none,media,"Modelos mixtos lineales funcionales wavelet, mencion explicita de base",no,
855,Nonparametric estimation of smoothed principal components analysis of sampled noisy functions,include,none,media,PCA suavizada no parametrica de funciones ruidosas,no,
856,Penalized functional regression,include,none,alta,"Regresion funcional penalizada, resumen confirma splines/eigenvectores",no,
857,A Bayesian latent variable approach to functional principal components analysis with binary and coun,include,none,media,Enfoque bayesiano de variables latentes para FPCA,no,
858,Estimation for semi-functional linear regression,include,none,media,Estimacion para regresion lineal semi-funcional,no,
859,Parameter cascades and profiling in functional data analysis,include,none,media,"Cascadas de parametros y profiling en FDA, metodologia Ramsay",no,
860,New insights on permutation approach for hypothesis testing on functional data,include,none,media,Enfoque de permutacion para test de hipotesis en datos funcionales,no,
861,Corrected Confidence Bands for Functional Data Using Principal Components,include,none,alta,Bandas de confianza corregidas para FDA usando componentes principales,no,
862,Functional linear regression after spline transformation,include,none,media,Regresion lineal funcional tras transformacion spline,no,
863,Functional data analysis of the dynamics of gene regulatory networks,include,none,baja,"FDA de redes regulatorias genicas, posible E4, solo titulo",no,
864,Dynamic functional data analysis with non-parametric state space models,include,none,media,FDA dinamica con modelos de espacio de estados no parametricos,no,
865,Multinomial functional regression with wavelets and LASSO penalization,include,none,media,"Regresion funcional multinomial con wavelets y LASSO, PR3/PR4",no,
866,The analysis of two-way functional data using two-way regularized singular value decompositions,include,none,media,Datos funcionales bidireccionales via SVD regularizada,no,
867,Functional data analysis and characterisation of temperature and rainfall patterns in Peninsular Mal,include,none,media,"FDA de temperatura y lluvia en Malasia, posible E4",no,
868,Functional maximum-likelihood estimation of ARH(p) models,include,none,media,"Estimacion de maxima verosimilitud funcional ARH(p), PR4/PR5",no,
869,A family of growth models for representing the price process in online auctions,include,none,baja,"Modelos de crecimiento para precio en subastas online, aplicacion financiera",no,
870,Assessing time-dependent association between scalp EEG and muscle activation: A functional random-ef,include,none,media,"Modelo de efectos aleatorios funcionales EEG-musculo, metodologia explicita",no,
871,"Selection of shape-preserving, discriminative bands using supervised functional principal component ",include,none,alta,Seleccion de bandas discriminativas via FPCA supervisada,no,
872,Spline and Wavelet Smoothing Techniques for Functional Data,include,none,alta,"Tecnicas de suavizado spline y wavelet para FDA, tema central PR1/PR3/PR4",no,
873,Some pitfalls in application of functional data analysis approach to association studies,include,none,alta,"Discusion de errores metodologicos en FDA, discute bases explicitamente",no,
874,Function-on-function regression with mode-sparsity regularization,include,none,alta,Regresion funcion-en-funcion con regularizacion mode-sparsity,no,
875,IGS: An IsoGeometric approach for smoothing on surfaces,include,none,media,"Suavizado sobre superficies con NURBS, metodologia de base relacionada",no,
876,Consistency of functional learning methods based on derivatives,include,none,alta,Consistencia de metodos de aprendizaje funcional basados en derivadas,no,
877,Functional Soft Sensor Based on Spectra Data for Predicting Multiple Quality Variables,include,none,media,"Sensor funcional para datos espectrales, posible E4",no,
878,"ECG-gated 18F-FDG positron emission tomography: Single test evaluation of segmental metabolism, func",exclude,I1,media,"Estudio clinico de PET cardiaco, sin indicio de metodologia FDA",no,
879,Analysis of the functional regression problem of temperature on Ozone concentration,include,none,media,"Regresion funcional de temperatura sobre ozono, posible E4",no,
880,Machine learning of ECG waveforms and cardiac magnetic resonance for response and survival after car,exclude,E1,media,"ML clinico de ECG/RMN orientado a resultado clinico, sin lenguaje de FDA visible",no,
881,A flexible regression model for diameter prediction,include,none,baja,"Modelo de regresion flexible para prediccion de diametro, solo titulo",no,
882,Algebraic phase unwrapping over collection of triangles based on two-dimensional spline smoothing,include,none,baja,"Desenvolvimiento de fase con suavizado spline 2D, solo titulo",no,
883,Smoothness in principal component analysis: A survey,include,none,media,"Suavidad en PCA, articulo de revision relacionado a FPCA",no,
884,Cubic spline for the functional treatment of the global solar radiation,include,none,media,"Spline cubico para radiacion solar funcional, posible interes regional andino",no,
885,First-passage-based boundary estimation in functional data,include,none,alta,"Estimacion de frontera basada en primer paso, metodologia central",no,
886,A quadriparametric model to describe the diversity of waves applied to hormonal data,include,none,media,"Modelo cuadriparametrico para ondas hormonales, posible E4",no,
887,Runoff potentiality of a watershed through SCS and functional data analysis technique,include,none,media,"Tecnica de FDA para escorrentia de cuenca, posible E4",no,
888,Past and projected trends of body mass index and weight status in South Australia: 2003 to 2019,include,none,media,"Tendencias de IMC con FDA como enfoque de pronostico, metodologico",no,
889,Bayesian functional regression as an alternative statistical analysis of high-throughput phenotyping,include,none,media,"Regresion funcional bayesiana en fenotipado agricola, posible E4",no,
890,Smoothing wind and rainfall data through functional data analysis technique,include,none,media,"Suavizado de viento y lluvia via FDA, Malasia, posible E4",no,
891,Prediction of functional data with spatial dependence: a penalized approach,include,none,alta,"Prediccion de datos funcionales con dependencia espacial, penalizado",no,
892,Modelling Resistive Random Access Memories by Means of Functional Principal Component Analysis,include,none,alta,"FPCA para memorias resistivas, coincide con tema del ancla #9a",no,
893,The effect of vaccine on COVID-19 spread by function-on-scalar regression model: a case study of Afr,include,none,media,"Regresion funcion-en-escalar para COVID, posible E4",no,
894,Use of Functional Data to Model the Trajectory of an Inertial Measurement Unit and Classify Levels o,include,none,media,"Datos funcionales para trayectoria IMU, clasificacion motora, posible E4",no,
895,Functional regression with mode-sparsity constraint,include,none,alta,"Regresion funcional con restriccion mode-sparsity, companero de 874",no,
896,Integrating machining learning and multimodal neuroimaging to detect schizophrenia at the level of t,exclude,I1,media,"ML de neuroimagen para esquizofrenia, sentido clinico de 'functional'",no,
897,Functional clustering of random curves,include,none,media,"Clustering funcional de curvas aleatorias, metodologia central",no,
898,Reconstruction of 3D whole-body PET data using blurred anatomical labels,exclude,I1,media,"Reconstruccion de PET de cuerpo completo, sin indicio de FDA",no,
899,A comparison of seed germination coefficients using functional regression,include,none,media,"Comparacion de coeficientes de germinacion via regresion funcional, posible E4",no,
900,Functional principal component analysis for identifying the child growth pattern using longitudinal ,include,none,media,"FPCA para patron de crecimiento infantil, posible E4",no,
901,Applications of functional data analysis: A systematic review,include,none,alta,"Revision sistematica de aplicaciones de FDA, posible referencia clave",no,
902,Ridge regression with adaptive additive rectangles and other piecewise functional templates,include,none,alta,"Regresion ridge con plantillas funcionales piecewise, metodologia central",no,
903,A vertical-energy-thresholding procedure for data reduction with multiple complex curves,include,none,media,"Umbralizacion de energia vertical para curvas complejas, PR4",no,
904,Statistical analysis on mean rainfall and mean temperature via functional data analysis technique,include,none,baja,"Analisis estadistico de lluvia/temperatura via FDA, Malasia, solo titulo",no,
905,Signal classification using random forest with kernels,include,none,baja,"Clasificacion de senales con random forest y kernels, conexion no explicita",no,
906,Classification of EEG signals: An interpretable approach using functional data analysis,include,none,media,"Clasificacion interpretable de EEG via FDA, resumen confirma metodologia",no,
907,Traffic Flow Prediction by an Ensemble Framework with Data Denoising and Functional Principal Compon,include,none,media,"Prediccion de flujo de trafico con FPCA, posible E4",no,
908,"""Rolled-upness"": Phenotyping leaf rolling in cereals using computer vision and functional data analy",include,none,baja,"Fenotipado de enrollamiento foliar via FDA, posible E4",no,
909,Research on Sensor Motion State Recognition Model Based on Functional Kernel Logistic Ensemble Regre,include,none,media,Reconocimiento de movimiento via regresion funcional kernel,no,
910,Trends in stratospheric ozone profiles using functional mixed models,include,none,media,"Perfiles de ozono estratosferico via modelos mixtos funcionales, posible E4",no,
911,Functional availability modelling of CNC machine tools,include,none,media,"Disponibilidad funcional de maquinas CNC, usa polinomios de Bernstein",no,
912,Statistical process control procedures for functional data with systematic local variations,include,none,media,"SPC para datos funcionales con variaciones locales, relacion a PR4",no,
913,Bayesian wavelet-based analysis of functional magnetic resonance time series,include,none,media,"Analisis wavelet bayesiano de series de fMRI, base explicita en titulo",no,
914,Integrated Machine Learning Approach for the Early Prediction of Pressure Ulcers in Spinal Cord Inju,exclude,I1,media,"Prediccion clinica con ML de ulceras por presion, sin lenguaje de FDA",no,
915,Functional Mixed-Effects Modeling of Longitudinal Duchenne Muscular Dystrophy Electrical Impedance M,include,none,media,"Modelado funcional de efectos mixtos para miografia, metodologia explicita",no,
916,Ensemble robust SIMPLS with block-penalized smoothing for scalar-on-function regression,include,none,baja,"SIMPLS robusto con suavizado penalizado por bloques, PR3, solo titulo",no,
917,Derivation of machine learning brain aging biomarkers for a set of forty thousand functional connect,include,none,baja,"Biomarcadores de envejecimiento cerebral en conectomas, verificar sentido de 'funcional'",no,
918,Contrasting pre-vaccine COVID-19 waves in Italy through functional data analysis,include,none,media,"FDA de olas de COVID-19 en Italia, posible E4",no,
919,"13th European Symposium on Artificial Neural Networks, ESANN 2005",exclude,E5,alta,"Registro de volumen de actas ESANN 2005, no trabajo individual",si,verde
920,Nasal coarticulation in Bininj Kunwok: An aerodynamic analysis,include,none,baja,"Analisis aerodinamico de coarticulacion nasal, posible FDA de curvas",no,
921,Functional clustering for Italian climate zones identification,include,none,baja,"Clustering funcional para zonas climaticas italianas, posible E4",no,
922,Spatial and temporal variabilities of rainfall data using functional data analysis,include,none,baja,"Variabilidad espacio-temporal de lluvia via FDA, posible E4",no,
923,Spatial prediction of soil penetration resistance using functional geostatistics,include,none,media,"Prediccion espacial de resistencia del suelo, geoestadistica funcional",no,
924,Mixed modeling for irregularly sampled and correlated functional data: Speech science applications,include,none,media,"Modelado mixto para datos funcionales de habla, metodologia explicita",no,
925,Penalized Partial Least Squares with applications to B-spline transformations and functional data,include,none,alta,"PLS penalizado con transformaciones B-spline, metodologia central",no,
926,Simulation analysis of functional data clustering method under constraints,include,none,media,Simulacion de clustering funcional bajo restricciones,no,
927,Prediction of Soluble Solid Contents in Apples Using Vis-NIRS and Functional Linear Regression Model,include,none,baja,"Prediccion de solidos solubles en manzanas, posible E4, solo titulo",no,
928,Functional principal component analysis for global sensitivity analysis of model with spatial output,include,none,media,FPCA para analisis de sensibilidad global con salida espacial,no,
929,Unveiling air pollution patterns in Yemen: a spatial–temporal functional data analysis,include,none,media,"FDA espacio-temporal para contaminacion del aire en Yemen, posible E4",no,
930,Changes in power curve shapes as an indicator of fatigue during dynamic contractions,include,none,baja,"Cambios en forma de curva de potencia, indicador de fatiga, posible E4",no,
931,Reducing inter-subject anatomical variation: Effect of normalization method on sensitivity of functi,exclude,I1,media,"Normalizacion anatomica de fMRI, sentido de 'functional' distinto a FDA",no,
932,Circadian intraocular pressure fluctuation and disease progression in primary angle closure glaucoma,include,none,baja,"Fluctuacion circadiana de presion intraocular, posible FDA de curvas",no,
933,Functional kernel-based modeling of wavelet compressed optical emission spectral Data: Prediction of,include,none,media,Modelado kernel funcional de datos espectrales comprimidos por wavelet,no,
934,Machine learning based on functional principal component analysis to quantify the effects of the mai,include,none,baja,"ML basado en FPCA para rendimiento de trigo, posible E4, solo titulo",no,
935,Functional data analysis of sleeping energy expenditure,include,none,media,"FDA de gasto energetico del sueno, posible E4",no,
936,Penalized versions of functional PLS regression,include,none,alta,"PLS funcional penalizado, metodologia central",no,
937,Functional relevance learning in generalized learning vector quantization,include,none,media,Aprendizaje de relevancia funcional en cuantizacion de vectores,no,
938,Smoothing and differentiation of kinematic data using functional data analysis approach: An applicat,include,none,alta,"Suavizado y diferenciacion de datos cinematicos via FDA, discute PR3",no,
939,Moment and Bayesian wavelet regression from spatially correlated functional data,include,none,media,Regresion wavelet bayesiana de momentos para datos funcionales correlacionados,no,
940,Functional data analysis for the development of a calibration model for near-infrared data,include,none,baja,"FDA para modelo de calibracion NIR, posible E4, solo titulo",no,
941,Prognostics of Lithium ion battery using functional principal component analysis,include,none,baja,"Pronostico de bateria de litio via FPCA, posible E4, solo titulo",no,
942,Beyond Static Assessment: A Proof-of-Concept Evaluation of Functional Data Analysis for Assessing Ph,include,none,media,"FDA para respuestas fisiologicas a esfuerzo, prueba de concepto",no,
943,Functional data analysis: A review of smoothing techniques,include,none,media,"Revision de tecnicas de suavizado en FDA, PR3 relevante",no,
944,Bayesian functional data clustering for temporal microarray data,include,none,media,Clustering funcional bayesiano para microarreglos temporales,no,
945,"Growth curves of wild Mallard, based on functional analysis of capture–recapture data",include,none,baja,"Curvas de crecimiento de anade via analisis funcional, posible E4",no,
946,Signal and image alignment during the application of functional data analysis. Practical examples of,include,none,media,"Alineacion de senales e imagenes en FDA, tecnica de registro",no,
947,Generalized linear regression model based on functional data analysis,include,none,baja,"Modelo de regresion lineal generalizado basado en FDA, solo titulo",no,
948,Uncovering regional climate patterns in Turkey using multivariate functional data analysis,include,none,media,"FDA multivariante para patrones climaticos en Turquia, posible E4",no,
949,Sex Differences in the ECG Interpretation: A Functional Data Analysis Perspective,include,none,media,"Diferencias de sexo en interpretacion de ECG, perspectiva FDA",no,
950,Linking demography with drivers: Climate and competition,include,none,baja,"Demografia y clima/competencia, conexion a FDA no explicita",no,
951,Ordinal regression for preference learning in wearables using sensor data,include,none,baja,"Regresion ordinal para wearables, conexion a FDA no explicita",no,
952,SEDLA: Feature-incremental learning with deep neural networks for functional regression,include,none,media,Aprendizaje incremental con redes profundas para regresion funcional,no,
953,Data preparation for functional data analysis of PM10 in Peninsular Malaysia,include,none,baja,"Preparacion de datos para FDA de PM10 en Malasia, posible E4",no,
954,Filling missing data and smoothing altered data in satellite imagery with a spatial functional proce,include,none,media,Relleno y suavizado de imagenes satelitales via procedimiento funcional espacial,no,
955,Classification of ADNI PET images via regularized 3D functional data analysis,include,none,alta,Clasificacion de imagenes PET via FDA regularizada 3D con wavelets Haar,no,
956,Long-term changes in the zooplankton community of Lake Maggiore in response to multiple stressors: A,include,none,media,"FPCA para comunidad de zooplancton, mas orientado a resultado aplicado",no,
957,Modeling computer experiments with functional response,include,none,media,Modelado de experimentos computacionales con respuesta funcional,no,
958,Utilizing BIC for the intelligent selection of functional data with principal components,include,none,alta,"Seleccion de FDA con componentes principales via BIC, base B-spline explicita",no,
959,Exploring functional data analysis and wavelet principal component analysis on ecstasy (MDMA) wastew,include,none,media,"FDA y wavelet PCA en datos de aguas residuales, posible E4",no,
960,ICGSP 2024 - Proceedings of the 2024 8th International Conference on Graphics and Signal Processing,exclude,E5,alta,"Registro de volumen de actas ICGSP 2024, no trabajo individual",si,verde
961,Functional data analysis of weather variables linked to Fusarium head blight epidemics in the United,include,none,media,"FDA de variables climaticas para epidemia de Fusarium, posible E4",no,
962,An improved representation of regional boundaries on parcellated morphological surfaces,include,none,baja,"Representacion de fronteras regionales en superficies morfologicas, ambiguo",no,
963,Trajectories of mHealth-Tracked Mental Health and Their Predictors in Female Chronic Pelvic Pain Dis,include,none,baja,"Trayectorias de salud movil en dolor pelvico cronico, conexion FDA no explicita",no,
964,High resolution temperature forecasting using functional time series decomposition and advanced pred,include,none,alta,"Pronostico de temperatura via descomposicion de series funcionales, PR4/PR5",no,
965,Determining optimum wavelengths for leaf water content estimation from reflectance: A distance corre,include,none,baja,"Estimacion de longitudes de onda optimas, conexion FDA no explicita",no,
966,A multi-country comparison of stochastic models of breast cancer mortality with P-splines smoothing ,include,none,media,"Comparacion de modelos de mortalidad con P-splines, base explicita",no,
967,Smoothing spline analysis of variance models: A new tool for the analysis of cyclic biomechanical da,include,none,media,"ANOVA de splines de suavizado, nueva herramienta biomecanica, base explicita",no,
968,Forecasting age-related changes in breast cancer mortality among white and black US women: A functio,include,none,baja,"Pronostico de mortalidad via datos funcionales, posible E4, solo titulo",no,
969,Robust prediction of three-dimensional spinal curve from back surface for non-invasive follow-up of ,include,none,baja,"Prediccion robusta de curva espinal 3D, posible FDA, solo titulo",no,
970,Penalized functional regression using R package PFLR,include,none,alta,"Regresion funcional penalizada, paquete de software PFLR",no,
971,Study on the Influence of Air Pressure and Temperature on PM2.5 by Multivariate Functional Linear Re,include,none,media,"Regresion lineal funcional multivariante para PM2.5, posible E4",no,
972,Adaptive LASSO estimation for functional hidden dynamic geostatistical models,include,none,alta,"LASSO adaptativo para modelos geoestadisticos dinamicos funcionales, PR3",no,
973,Injury Severity Prediction using Functional Data Analysis based on Select Vehicle Category from NASS,include,none,baja,"Prediccion de severidad de lesiones via FDA, posible E4, solo titulo",no,
974,Variable selection in regression models including functional data predictors,include,none,media,Seleccion de variables en modelos de regresion con predictores funcionales,no,
975,Meta-learning-based continuous state-space models for rapid monitoring using heterogeneous grade sou,include,none,baja,"Modelos de espacio de estados para monitoreo, conexion FDA no explicita",no,
976,Supervised functional state-space modeling for monitoring multigrade batch processes with irregular ,include,none,baja,"Modelado de espacio de estados funcional supervisado, mencion explicita",no,
977,2D MRI intermodal hybrid brain image fusion using stationary wavelet transform,include,none,media,"Fusion de imagenes MRI via wavelet estacionaria, PR4 aunque dominio distinto",no,
978,Time normalization of voice signals using functional data analysis,include,none,media,Normalizacion temporal de senales de voz via FDA,no,
979,A prediction interval for a function-valued forecast model: Application to load forecasting,include,none,alta,"Intervalo de prediccion funcion-valuado, modelo Kernel+Wavelet+Functional, PR4",no,
980,Modelling short time series in metabolomics: A functional data analysis approach,include,none,baja,"Modelado de series cortas en metabolomica via FDA, posible E4, solo titulo",no,
981,Spectral Domain OCT in age-related macular degeneration: Preliminary results with Spectralis HRA-OCT,exclude,I1,media,"Reporte clinico de tecnologia OCT, sin indicio de FDA",no,
982,Quantile-based Clustering for Functional Data via Modelling Functional Principal Components Scores,include,none,alta,Clustering basado en cuantiles para datos funcionales via scores FPCA,no,
